unbreakable	اٹوٹ
epic	رزمیہ
juice	رس
reach	رسائی
access	رسائی
custom	رسم
formal	رسمی
disgrace	رُسوائی
sediment	رُسوب
addict	رسیا
mellowness	رسیدگی
maturity	رسیدگی
juicy	رسیلا
succulent	رسیلا
lead	رصاص
consent	رضا
thunder	رعد
like	رغبت
affection	رغبت
companionship	رفاقت
association	رفاقت
comradeship	رفاقت
velocity	رفتار
friend	رفیق
area	رقبہ
dance	رقص
thin	رقیق
liquid	رقیق
dish	رکابی
plate	رکابی
set	رکھنا
keeper	رکھوالا
nerve	رگ
graze	رگڑ
grind	رگڑنا
symbol	رمز
symbolism	رمزیت
sorrow	رنج
chagrin	رنجیدگی
sad	رنجیدہ
widower	رنڈوا
whore	رنڈی
prostitute	رنڈی
colour	رنگ
look	رنگ
colour	رنگنا
colour	رنگین
colourful	رنگین
face	رُو
tolerance	رواداری
fluid	رواں
go	رواں
flow	رواں
dispatch	روانگی
departure	روانگی
fluency	روانی
loaf	روٹی
bread	روٹی
day	روز
employment	روزگار
hindrance	روک
bondage	روک
impede	روکنا
dry	رُوکھا
disease	روگ
cry	رونا
weep	رونا
monasticism	رہبانیت
plate	طشتری
sand	ریت
rope	ریسمان
silk	ریشم
silky	ریشمی
sand	ریگ
desert	ریگستان
crawl	رینگنا
pit	گڑھا
adulterer	زانی
fornicator	زانی
fornicator	زانیہ
angle	زاویہ
bear	زائیدہ
force	زبردستی
high	زبردستی
childbirth	زچگی
trouble	زحمت
wound	زخم
gold	زر
gold	زرکوب
yellow	زرد
agrarian	زرعی
monetary	زری
saffron	زعفران
leap	زقند
jump	زقند
earthquake	زلزلہ
time	زمان
land	زمین
woman	زن
female	زنانہ
feminine	زنانہ
wallet	زنبیل
fall	زوال
force	زور
strength	زور
poison	زہر
poisonous	زہریلا
under	زیر
lower	زیریں
seventh	ساتواں
sixtieth	ساٹھواں
partnership	ساجھا
partner	ساجھی
naivety	سادگی
plainness	سادگی
simplicity	سادگی
simple	سادہ
cameleer	ساربان
whole	سارا
sarangi	سارنگی
goodwill	ساکھ
ocean	ساگر
teak	ساگوان
brother	سالا
yearly	سالانہ
birthday	سالگرہ
imperialistic	سامراجی
whetstone	سان
hone	سان
flail	سانٹ
mould	سانچا
matrix	سانچا
moneylender	ساہوکار
questioner	سائل
applicant	سائل
shade	سایہ
cause	سبب
ground	سبب
greenness	سبزی
crowbar	سبّل
essence	ست
extract	ست
awl	سُتاری
annoy	ستانا
seventeenth	سترھواں
adorn	سجانا
decorate	سجانا
pure	سچّا
truthful	سچّا
sincere	سچّا
true	سچّا
truth	سچّائی
munificence	سخاوت
generosity	سخاوت
hard	سخت
severe	سخت
solid	سخت
harsh	سخت
rigidity	سختی
strictness	سختی
hardness	سختی
ever	سدا
skull	سر
head	سربراہ
patron	سرپرست
patronage	سرپرستی
diligent	سرگرم
earnest	سرگرم
whisper	سرگوشی
tune	سُر
mirage	سراب
wholly	سراسر
commend	سراہنا
praise	سراہنا
inn	سرائے
frigid	سرد
cold	سرد
headship	سرداری
chieftainship	سرداری
cursory	سرسری
weevil	سُرسُری
insurrection	سرکشی
cypress	سرو
punishment	سزا
inexpensive	سستا
shallow	سطحی
superficial	سطحی
attempt	سعی
white	سفید
whitewash	سفیدی
whiteness	سفیدی
ambassador	سفیر
stamina	سکت
salute	سلام
sultanate	سلطنت
poison	سم
society	سماج
celestial	سماوی
room	سمائی
explain	سمجھانا
sea	سمندر
marine	سمندری
jute	سن
numb	سُن
senna	سنا
hold	سنبھالنا
sentry	سنتری
frille	سنجافی
gravity	سنجیدگی
seriousness	سنجیدگی
solemn	سنجیدہ
sober	سنجیدہ
serious	سنجیدہ
sensation	سنسنی
thrill	سنسنی
pincer	سنسی
stone	سنگ
hard	سنگین
heed	سُننا
improve	سنوارنا
saturday	سنیچر
vehicle	سواری
disguise	سوانگ
interest	سُود
needle	سوزن
dry	سُوکھا
sixteenth	سولھواں
empty	سُونا
gold	سونا
cudgel	سونٹا
prop	سہارا
easy	سہل
simple	سہل
oversight	سہو
mistakenly	سہواً
erroneously	سہواً
from	سے
with	سے
liquid	سیّال
full	سیر
seer	سیر
satiety	سیری
horn	شاخ
verdure	شادابی
delight	شادمان
happiness	شادمانی
joy	شادمانی
marriage	شادی
urine	شاش
querulous	شاکی
shawl	شال
evening	شام
mode	شان
grandeur	شان
tranquillity	شانتی
pompous	شاندار
comb	شانہ
chauvinism	شاونیت
princely	شاہانہ
regal	شاہانہ
politeness	شائستگی
refine	شائستہ
polite	شائستہ
gentle	شائستہ
perhaps	شاید
word	شبد
dew	شبنم
dewy	شبنمی
person	شخص
individual	شخص
severe	شدید
intense	شدید
heavy	شدید
boozer	شرابی
mischief	شرارت
nobility	شرافت
rate	شرح
bet	شرط
shame	شرم
bashful	شرمیلا
modest	شرمیلا
artery	شریان
wicked	شریر
naughty	شریر
participant	شریک
work	شغل
transparent	شفّاف
affectionate	شفیق
kind	شفیق
migraine	شقیقہ
suspicion	شک
sugar	شکر
form	شکل
face	شکل
morphology	شکلیات
smell	شمیم
identification	شناخت
saturday	شنبہ
conch	شنکھ
cinnabar	شنگرف
pert	شوخ
sudra	شُودر
noise	شور
salt	شور
clamour	شور
nitre	شورہ
check	شہ
witness	شہادت
testimony	شہادت
honey	شہد
urban	شہری
emperor	شہنشاہ
lust	شہوت
fondness	شیفتگی
exact	صحیح
right	صحیح
correct	صحیح
downright	صاف
clear	صاف
pure	صاف
turban	صافہ
patience	صبر
journalism	صحافت
journalistic	صحافتی
desert	صحرا
presidency	صدارت
presidential	صدارتی
veracity	صداقت
truth	صداقت
epilepsy	صرع
expenditure	صرف
cleanness	صفا
purity	صفائی
smoothness	صفائی
cleanness	صفائی
bile	صفرا
scrotum	صفن
hardness	صلابت
box	صندوق
discretion	صوابدید
restraint	ضبط
confiscation	ضبطی
voluminous	ضخیم
stroke	ضرب
loss	ضرر
damage	ضرر
detriment	ضرر
absolutely	ضرور
definitely	ضرور
need	ضرورت
needful	ضروری
assimilation	ضم
conscience	ضمیر
appendix	ضمیمہ
niche	طاق
powerful	طاقتور
natural	طبعی
tabla	طبلہ
disposition	طبیعت
physics	طبیعیات
like	طرح
side	طرف
way	طریقہ
scoff	طعن
sneer	طعن
taunt	طعنہ
request	طلب
satisfaction	طمانیت
satirical	طنّاز
irony	طنز
sarcasm	طنز
courtesan	طوائف
prostitute	طوائف
aeroplane	طیّارہ
wit	ظرافت
receptacle	ظرف
ivory	عاج
habit	عادت
naked	عاری
general	عام
gown	عبا
genius	عبقری
curious	عجیب
odd	عجیب
weird	عجیب
queer	عجیب
bizarre	عجیب
strange	عجیب
outlandish	عجیب
judicial	عدالتی
hostility	عداوت
digit	عدد
numeral	عددی
len	عدسہ
breadth	عرض
petition	عرضی
bride	عروس
bridal	عروسی
bridegroom	عریس
relation	عزیز
relative	عزیز
military	عسکری
tithe	عُشر
staff	عصا
muscle	عضلہ
endowment	عطا
greatness	عظمت
great	عظیم
chaste	عفیف
rear	عقب
intellect	عقل
reason	عقل
rational	عقلی
symbol	علامت
symbolic	علامتی
ill	علیل
edifice	عمارت
action	عمل
act	عمل
perpendicular	عمود
profound	عمیق
universal	عمیم
time	عہد
promise	عہد
vow	عہد
sly	عیّار
crafty	عیّار
craftiness	عیّاری
obvious	عیاں
cave	غار
cavern	غار
extremist	غالی
dewlap	غبغب
misappropriation	غبن
peculation	غبن
embezzlement	غبن
dunce	غبی
dullard	غبی
treacherous	غدّار
mutiny	غدر
intention	غرض
absorb	غرق
poor	غریب
poverty	غریبی
swoon	غشی
usurpation	غصب
erroneous	غلط
wrong	غلط
false	غلط
incorrect	غلط
mistake	غلطی
filthy	غلیظ
enemy	غنیم
dive	غوطہ
herd	غول
conqueror	فاتح
persian	فارسی
fatimid	فاطمی
paralysis	فالج
mauve	فالسئی
profit	فائدہ
interest	فائدہ
benefit	فائدہ
advantage	فائدہ
paramount	فائق
victory	فتح
prosperity	فراخی
absconder	فراری
escapism	فراریت
abundant	فراواں
plentifulness	فراوانی
corpulent	فربہ
obese	فربہ
fat	فربہ
obesity	فربہی
vulva	فرج
vagina	فرج
roll	فرد
tomorrow	فردا
obligation	فرض
fictitious	فرضی
distinction	فرق
difference	فرق
order	فرمان
sale	فروخت
dictionary	فرہنگ
vocabulary	فرہنگ
complainant	فریادی
riot	فساد
mischief	فساد
mischievous	فسادی
eloquence	فصاحت
phlebotomist	فصّاد
crop	فصل
physiology	فعلیات
physiological	فعلیاتی
vertebrate	فقاریہ
only	فقط
merely	فقط
beggar	فقیر
fakir	فقیر
mendicant	فقیر
catapult	فلاخن
philosophy	فلسفہ
philosopher	فلسفی
philosophical	فلسفیانہ
testicle	فوطہ
scrotum	فوطہ
intelligence	فہم
wise	فہیم
per	فی
distributor	قاسم
messenger	قاصد
law	قاعدہ
caravan	قافلہ
carpet	قالین
dictionary	قاموس
legal	قانونی
legislative	قانونی
midwifery	قبالت
tomb	قبر
possession	قبضہ
tribe	قبیلہ
clan	قبیلہ
massacre	قتل
assassination	قتل
stature	قد
dignity	قدر
bygone	قدیم
ancient	قدیم
pharmacopoeia	قرابادین
loan	قرض
debt	قرض
trumpet	قرنا
near	قریب
vow	قسم
shell	قشر
deliberately	قصداً
eulogy	قصیدہ
row	قطار
definitely	قطعاً
categorical	قطعی
altogether	قطعی
pen	قلم
shirt	قمیص
wrath	قہر
clip	کاٹنا
action	کارروائی
proceed	کارروائی
worker	کارکن
businessman	کاروباری
workshop	کارخانہ
business	کاروبار
cultivation	کاشت
paper	کاغذ
adequate	کافی
sufficient	کافی
cork	کاگ
famine	کال
black	کالا
work	کام
business	کام
successful	کامران
worker	کامی
successful	کامیاب
shiver	کانپنا
weighbridge	کانٹا
thorn	کانٹا
moss	کائی
junk	کباڑ
grey	کبرا
ever	کبھی
captain	کپتان
malice	کپٹ
tremble	کپکپانا
shake	کپکپانا
shiver	کپکپانا
tremble	کپکپی
rigid	کٹّر
density	کثافت
abundance	کثرت
multi-	کثیر
abundant	کثیر
copious	کثیر
dense	کثیف
raw	کچّا
turtle	کچھوا
tortoise	کچھوا
tax	کر
aversion	کراہت
moan	کراہنا
workable	کردنی
celery	کرفس
do	کرنا
abominable	کریہہ
hard	کڑا
embroidery	کڑھائی
tight	کسا
whore	کسبی
fidget	کسمسانا
brace	کسنا
extraction	کشید
atonement	کفّارہ
machine	کل
entire	کُل
grand	کلاں
wrist	کلائی
salinity	کلّر
church	کلیسا
less	کم
few	کم
gain	کمائی
less	کمتر
back	کمر
weak	کمزور
deficiency	کمی
scarcity	کمی
dearth	کمی
shortfall	کمی
scarce	کمیاب
commandant	کمیدان
abattoir	کمیلا
baseness	کمینگی
stingy	کنجوس
canister	کنستر
centipede	کنکھجورا
cornice	کنگنی
comb	کنگھا
synagogue	کنیسہ
shortcome	کوتاہی
littleness	کوتاہی
defect	کوتاہی
castle	کوٹ
fort	کوٹ
whip	کوڑا
leprosy	کوڑھ
imprecation	کوسنا
attempt	کوشش
effort	کوشش
vexation	کوفت
poppy	کُوکنار
corner	کونا
hilly	کوہی
some	کوئی
prophecy	کہانت
story	کہانی
tale	کہانی
proverb	کہاوت
adage	کہاوت
inferiority	کہتری
utter	کہنا
tell	کہنا
lest	کہیں
many	کئی
several	کئی
tapeworm	کیچوا
lobster	کیکٹ
bay	کھاڑی
skin	کھال
meal	کھانا
cough	کھانسی
ditch	کھائی
trench	کھائی
left	کھبّا
sour	کھٹّا
manger	کُھرلی
chalk	کھریا
vertical	کھڑا
perpendicular	کھڑا
brittle	کھڑنک
open	کُھلا
chink	کھنکنا
copra	کھوپرا
cranium	کھوپڑی
tracker	کھوجی
dig	کھودنا
delve	کھودنا
empty	کھوکھلا
open	کھولنا
frolic	کھیل
show	کھیل
play	کھیل
sediment	گاد
vehicle	گاڑی
sing	گانا
bale	گانٹھ
purchaser	گاہک
pace	گت
callosity	گٹاّ
gout	گٹھیا
beggar	گداگر
turbid	گدلا
cushion	گدیلا
shepherd	گڈریا
thunder	گرج
thunder	گرجنا
warm	گرم
whore	گشتی
citron	گلگل
singer	گلوکار
lane	گلی
grave	گمبھیر
heavy	گمبھیر
baldness	گنج
dirty	گندا
filth	گندگی
wheaten	گندمی
filthy	گندہ
brimstone	گندھک
perfumer	گندھی
boor	گنوار
witness	گواہ
evidence	گواہی
godown	گودام
angle	گوشہ
circular	گول
round	گول
roundness	گولائی
circularity	گولائی
curvature	گولائی
sphericity	گولائی
pill	گولی
globule	گولی
lump	گومڑا
transmigration	آواگون
reincarnation	آواگون
deep	گہرا
deepness	گہرائی
eleven	گیارہ
eleventh	گیارھواں
rhinoceros	گینڈا
loss	گھاٹا
lessen	گھٹانا
allay	گھٹانا
decrease	گھٹانا
depreciation	گھٹاؤ
mediocre	گھٹیا
mean	گھٹیا
low	گھٹیا
cheap	گھٹیا
house	گھر
clock	گھڑی
gharial	گھڑیال
haughtiness	گھمنڈ
pride	گھمنڈ
dense	گھنا
close	گھنا
clock	گھنٹہ
mare	گھوڑی
ricer	گھوڑی
mollusc	گھونگا
compound	گھیر
goitre	گھینگا
agnostic	لاادری
secularism	لادینیت
x	لاشعاع
lawlessness	لاقانونیت
heirless	لاوارث
lathi	لاٹھی
ultramarine	لاجوردی
weakness	لاغری
lakh	لاکھ
expenditure	لاگت
avarice	لالچ
avaricious	لالچی
greedy	لالچی
covetous	لالچی
ruddiness	لالی
redness	لالی
infinite	لامحدود
capable	لائق
able	لائق
competent	لائق
worthy	لائق
brim	لب
milk	لبن
flame	لپٹ
furl	لپیٹنا
addiction	لت
resilience	لچک
elasticity	لچک
suppleness	لچک
buoyancy	لچک
elastic	لچکیلا
supple	لچکیلا
delicious	لذیذ
tremulous	لرزاں
quake	لرزنا
tremble	لرزنا
throb	لرزنا
quarrelsome	لڑاکا
fighter	لڑاکا
belligerent	لڑاکا
boy	لڑکا
girl	لڑکی
soldier	لشکری
subtlety	لطافت
thin	لطیف
elegant	لطیف
joke	لطیفہ
curse	لعنتی
preposterous	لغو
verbose	لفّاظ
verbosity	لفّاظی
word	لفظ
vocabulary	لفظیات
yob	لفنگا
blackguard	لفنگا
line	لکیر
attach	لگانا
tall	لمبا
length	لمبائی
moment	لمحہ
touch	لمس
lameness	لنگ
lame	لنگڑا
covetous	لوبھی
loquat	لوکاٹ
salt	لون
blacksmith	لوہار
uvula	لہات
therefore	لہٰذا
wave	لہر
flutter	لہرانا
garlicky	لہسنی
but	لیکن
motherly	مادرانہ
matriarchal	مادری
material	مادّی
asparagus	مارچوبہ
manhandle	مارنا
weak	ماڑا
necklace	مالا
masseur	مالشیا
massager	مالشیا
pecuniary	مالی
melancholia	مالیخولیا
mummy	ماں
boatman	مانجھی
dim	ماند
weariness	ماندگی
weary	ماندہ
indispose	ماندہ
preventive	مانع
request	مانگ
acknowledge	ماننا
own	ماننا
accept	ماننا
intimate	مانوس
monthly	ماہوار
despondent	مایوس
lest	مبادا
anus	مبرز
seriousness	متانت
obsolete	متروک
grave	متین
serious	متین
say	مثل
see	مثل
adage	مثل
allegory	مجاز
helplessness	مجبوری
compulsion	مجبوری
collective	مجموعی
lunatic	مجنوں
magus	مجوسی
unknown	مجہول
fish	مچھلی
prison	محبس
lovey	محبوب
duty	محصول
tax	محصول
mere	محض
purely	محض
pure	محض
secure	محفوظ
subjection	محکومی
absorb	محو
rapt	محو
pyramidal	مخروطی
repository	مخزن
occult	مخفی
mixed	مخلوط
velvet	مخمل
velvety	مخملی
admirer	مدّاح
gate	مدخل
aid	مدد
assistance	مدد
help	مدد
helper	مددگار
civic	مدنی
urban	مدنی
joke	مذاق
butchery	مذبح
abattoir	مذبح
religion	مذہب
godly	مذہبی
myrrh	مُر
status	مرتبہ
manliness	مردانگی
disease	مرض
pleasure	مرضی
central	مرکزی
centralization	مرکزیت
centrality	مرکزیت
pearl	مروارید
ointment	مرہم
unguent	مرہم
disease	مریض
merino	مرینا
taste	مزا
additional	مزید
more	مزید
far	مزید
fascinated	مسحور
wag	مسخرہ
delight	مسرور
aged	مُسِن
proposition	مسئلہ
problem	مسئلہ
issue	مسئلہ
beverage	مشروب
engage	مشغول
busy	مشغول
musk	مُشک
advice	مشورہ
machine	مشین
mechanical	مشینی
strong	مضبوط
solid	مضبوط
firm	مضبوط
article	مضمون
mean	مطلب
phenomenon	مظہر
instantaneously	معاً
ford	معبر
mineral	معدنی
extinct	معدوم
excuse	معذرت
apology	معذرت
handicap	معذور
inability	معذوری
objectivity	معروضیت
objectivism	معروضیت
well	معروف
innocent	معصوم
sinless	معصوم
reasonable	معقول
rational	معقول
sensible	معقول
inversive	معکوس
laboratory	معمل
practice	معمول
mean	معنی
haughty	مغرور
conceite	مغرور
pith	مغز
kidnapper	مُغوی
place	مقام
local	مقامی
tomb	مقبرہ
popular	مقبول
popularity	مقبولیت
aim	مقصد
design	مقصد
object	مقصد
purpose	مقصد
design	مقصود
sly	مکّار
dwelling	مکان
wile	مکر
loathsome	مکروہ
save	مگر
fly	مگس
happy	مگن
mullah	مُلّا
reprehension	ملامت
pasteboard	ملٹ
locust	ملخ
farrago	ملغوبہ
hotchpotch	ملغوبہ
medley	ملغوبہ
taboo	ممنوع
thankful	ممنون
grateful	ممنون
wagtail	ممولا
propitiate	منانا
fountain	منبع
spell	منتر
mantra	منتر
charm	منتر
slow	مندا
annulment	منسوخی
abrogation	منسوخی
manifesto	منشور
prism	منشور
design	منصوبہ
logician	منطقی
logical	منطقی
scenery	منظر
scene	منظر
sanction	منظوری
convene	منعقدکرنا
negative	منفی
minus	منفی
tuesday	منگل
betrothal	منگنی
seminal	منوی
matter	مواد
fat	موٹا
gross	موٹا
thickness	موٹائی
cobbler	موچی
corbel	مورنی
bend	موڑنا
root	مُول
mummify	مومیانا
blackcurrant	مویز
expertise	مہارت
fragrance	مہک
spur	مہمیز
costly	مہنگا
expensive	مہنگا
mine	میرا
ewe	میش
connection	میل
ram	مینڈھا
inconstancy	نااستواری
vile	نابکار
dirty	ناپاک
uncleanliness	ناپاکی
deficient	ناتمام
weak	ناتواں
infirm	ناتواں
illiterate	ناخواندہ
unwittingness	نادانستگی
wrong	نادرست
false	نادرست
indecorous	ناشائستہ
indecent	ناشائستہ
disobedient	نافرمان
unserviceable	ناکارہ
insufficient	ناکافی
unsuccessful	ناکام
failure	ناکامی
unsay	ناگفتہ
eunuch	نامرد
absurd	نامعقول
unsuitable	ناموزوں
rare	نایاب
inexperienced	ناآزمودہ
measure	ناپنا
weakness	ناتوانی
drama	ناٹک
nautch	ناچ
dance	ناچنا
penniless	نادار
pauper	نادار
poor	نادار
poverty	ناداری
simple	نادان
coconut	نارجیل
tender	نازک
gracile	نازک
subtle	نازک
pear	ناشپاتی
nobody	ناکس
tube	نالی
drain	نالی
appellation	نام
famous	نامور
fame	ناموری
organism	نامیہ
nan	نان
naan	نان
vegetal	نباتی
botany	نباتیات
accent	نبرہ
result	نتیجہ
nostril	نتھنا
acrobat	نٹ
prose	نثر
prosaic	نثری
salvation	نجات
carpenter	نجّار
star	نجم
weak	نحیف
thin	نحیف
impure	نخالص
oasis	نخلستان
haughtiness	نخوت
shame	ندامت
repentance	ندامت
rivulet	ندی
companion	ندیم
soft	نرم
mildness	نرمی
near	نزدیک
close	نزدیک
about	نزدیک
nearness	نزدیکی
catarrh	نزلہ
cold	نزلہ
generation	نسل
racial	نسلی
tissue	نسیج
precept	نصیحت
scene	نظارہ
view	نظر
sight	نظر
look	نظر
vision	نظر
visual	نظری
theoretical	نظری
slogan	نعرہ
enforcement	نفاذ
bituman	نفت
flatulence	نفخ
hate	نفرت
hatre	نفرت
self	نفس
profit	نفع
gain	نفع
advantage	نفع
exquisite	نفیس
refine	نفیس
veil	نقاب
impression	نقش
picture	نقش
imitation	نقل
duplicate	نقل
copy	نقل
spurious	نقلی
fictitious	نقلی
false	نقلی
artificial	نقلی
jewel	نگینہ
tap	نل
damp	نم
saltish	نمکین
saltness	نمکینی
awning	نمگیرا
pattern	نمونہ
speciman	نمونہ
moistness	نمی
dampness	نمی
moisture	نمی
nude	ننگا
naked	ننگا
nudity	ننگاپن
nawab	نواب
pluck	نوچنا
point	نوک
tip	نوک
writer	نویسندہ
bathe	نہانا
novel	نیا
virtuous	نیک
goodness	نیکی
weasel	نیولا
mongoose	نیولا
vale	وادی
stroke	وار
inheritor	وارث
heir	وارث
medium	واسطہ
connection	واسطہ
waistcoat	واسکٹ
happen	واقعہ
event	واقعہ
actually	واقعی
verily	واقعی
plague	وبال
curse	وبال
epidemic	وبائی
sinew	وتر
diagonal	وتر
ecstasy	وجد
unity	وحدت
oneness	وحدت
wild	وحشی
ferocious	وحشی
vortex	ورطہ
tempt	ورغلانا
otherwise	ورنہ
weight	وزن
importance	وزن
weighty	وزنی
heavy	وزنی
vizier	وزیر
minister	وزیر
centre	وسطی
spacious	وسیع
extensive	وسیع
medium	وسیلہ
virtue	وصف
explanation	وضاحت
manner	وضع
make	وضع
style	وضع
kind	وضع
homeland	وطن
fellowship	وظیفہ
scholarship	وظیفہ
promise	وعدہ
sermon	وعظ
demise	وفات
solemnity	وقار
prestige	وقار
honour	وقار
transitory	وقتی
trust	وقف
halt	وقفہ
pause	وقفہ
hiatus	وقفہ
advocacy	وکالت
lawyer	وکیل
they	وہ
there	وہاں
delusion	وہم
fanciful	وہمی
vedanta	ویدانت
market	ہاٹ
digestion	ہاضمہ
yes	ہاں
gasp	ہانپنا
pant	ہانپنا
haiku	ہائیکو
insult	ہتک
seize	ہتھیانا
grab	ہتھیانا
stubbornness	ہٹ
stubborn	ہٹیلا
obstinate	ہٹیلا
lampoon	ہجو
satire	ہجو
target	ہدف
delirious	ہذیانی
green	ہرا
defeat	ہرانا
orpiment	ہرتال
hydrophobia	ہڑک
rabie	ہڑک
cinerarium	ہڑواڑ
thousand	ہزار
saturday	ہفتہ
stammerer	ہکلا
stammer	ہکلانا
plough	ہل
hubbub	ہلچل
stir	ہلچل
turmeric	ہلدی
mild	ہلکا
delicate	ہلکا
soft	ہلکا
our	ہمارا
sympathetic	ہمدرد
neighbour	ہمسایہ
equal	ہمسر
smooth	ہموار
flat	ہموار
level	ہموار
equable	ہموار
even	ہموار
always	ہمیشہ
ever	ہمیشہ
swan	ہنس
laugh	ہنسنا
facetious	ہنسوڑ
mirth	ہنسی
furore	ہنگامہ
tumult	ہنگامہ
turmoil	ہنگامہ
air	ہوا
airy	ہوائی
clever	ہوشیار
alert	ہوشیار
intelligent	ہوشیار
wisdom	ہوشیاری
cleverness	ہوشیاری
nothing	ہیچ
remembrance	یادگار
commemorative	یادگاری
profit	یافت
income	یافت
helper	یاور
orphanhood	یتیمی
soup	یخنی
agate	یشب
faith	یقین
certainly	یقیناً
definitely	یقیناً
indeed	یقیناً
sure	یقینی
certain	یقینی
unique	یکتا
equal	یکساں
uniformity	یکسانیت
oneness	یگانگت
unique	یگانہ
here	یہاں
hither	یہاں
